Number of clicks on similar products,Number of similar products purchased so far,Average rating given to similar products,Median purchasing price (in rupees),Rating of the product,Brand of the product,Customer review sentiment score (overall),Price of the product,Probability for the product to be recommended to the person,User_ID,Product_ID,Gender_male,Holiday_Yes,Season_spring,Season_summer,Season_winter,Geographical locations_mountains,Geographical locations_plains
-0.7820729085334123,-0.975805360567318,4.2,-0.7291899319600759,0.5310332258936534,PUMA,0.8,-0.48097766847753837,0.9,5186,9346,True,False,False,False,True,False,True
-1.135685015029808,-1.3493024006805943,3.8,0.0918645182715003,-1.0358991231322476,Lee,-0.4,-0.4299677693275659,0.2,8432,4580,False,True,False,False,False,True,False
0.3671664375798733,0.14468575977251075,4.5,-0.6963477539508128,0.8926329987457843,Head Hunters,0.6,-0.0728984752777591,0.7,6012,8861,False,False,True,False,False,False,True
-1.3124910682780058,-1.5360509207372324,2.1,-0.8605586439971281,-1.879631926453887,Johnson & Johnson,0.1,-0.4299677693275659,0.1,1709,8085,False,False,False,True,False,False,False
-0.25165474878881894,-0.7890568405106799,4.7,-0.23655726182113018,0.2899667106588992,Wakefit,0.9,-0.22592817272767632,0.8,7088,676,True,True,False,False,True,False,True
-1.842909228022599,-1.7227994407938705,0.0,-0.5649790419137607,-4.892963366888313,Dabur Chyawanprash,-0.7,-0.0728984752777591,0.0,7518,9584,True,False,False,False,True,True,False
1.5164057836931588,1.0784283600557014,4.9,-0.6635055759415498,1.0131662563631618,Manyavar Mohey,0.95,-0.22592817272767632,1.0,4773,6759,False,False,False,True,False,False,True
-1.2240880416539068,-1.1625538806239561,3.4,0.7487080784567612,-0.43323283504536253,Pepperfry,0.2,-0.1239083744277315,0.3,4035,341,True,False,False,False,True,False,False
-1.4892971215262034,-1.7227994407938705,1.5,-0.5978212199230237,-2.7233647297755263,Lee Cooper,-0.3,-0.3789578701775935,0.05,6367,6039,True,False,False,False,False,True,False
-0.9588789617816101,-0.975805360567318,3.9,-0.794874287978602,0.04890019542414492,Libram,0.7,-0.48097766847753837,0.6,1887,3319,False,True,True,False,False,False,True
1.8700178901895546,1.6386739202256158,4.6,-0.794874287978602,0.7720997411284076,Flying Machine,0.85,-0.27693807187764874,0.95,8654,7672,True,False,False,True,False,False,True
-0.07484869554062118,-0.2288112803407655,4.3,-0.5649790419137607,0.4104999682762768,SleepyCat,0.75,-0.0728984752777591,0.85,55,9910,False,True,False,True,False,False,False
-1.4008940949021045,-1.3493024006805943,2.8,1.733973418734653,-1.2769656383670018,Streax,-0.5,-0.32794797102762113,0.1,4718,4514,True,True,False,True,False,False,True
0.8975845973244666,0.518182799885787,4.8,-0.762032109969339,0.65156648351103,Lakme Ayurveda,0.85,-0.27693807187764874,0.9,316,2593,False,False,False,False,True,False,True
-1.6661031747744013,-1.5360509207372324,2.0,0.4202862983641308,-2.241231699306018,Forest Essentials,-0.2,-0.48097766847753837,0.05,7304,9885,True,True,False,True,False,True,False
-0.3400577754129179,-0.41555980039740364,4.1,-0.5978212199230237,0.16943345304152257,Dove Hair,0.8,-0.5319875676275108,0.7,1678,7618,False,True,False,False,True,False,True
